time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition_text,condition_icon,condition_code,date,open,high,low,close,volume
1749218400,2025-06-06 10:00:00,29.7,85.4,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",12.5,20.2,255,WSW,1013.0,29.92,0.0,0.0,0.0,60,13,33.0,91.4,29.7,85.4,33.0,91.4,20.9,69.6,0,0,0,0,10.0,6.0,14.4,23.2,7.0,,,0,2025-06-06,270.17,270.17,268.95,269.21,291023
1749222000,2025-06-06 11:00:00,30.2,86.3,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.5,20.2,246,WSW,1013.0,29.92,0.0,0.0,0.0,56,9,33.2,91.8,30.2,86.3,33.2,91.8,21.8,71.2,0,0,0,0,10.0,6.0,14.4,23.2,8.0,,,0,2025-06-06,269.21,269.75,268.2,268.46,226177
1749225600,2025-06-06 12:00:00,30.1,86.2,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.5,20.2,240,WSW,1012.0,29.89,0.0,0.0,0.0,54,13,32.8,91.0,30.1,86.2,32.8,91.0,20.4,68.7,0,0,0,0,10.0,6.0,14.4,23.2,8.0,,,0,2025-06-06,268.475,268.81,267.58,268.0899,134664
1749229200,2025-06-06 13:00:00,29.9,85.8,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.8,20.5,234,SW,1012.0,29.88,0.0,0.0,0.0,54,16,32.0,89.7,29.9,85.8,32.0,89.7,19.7,67.4,0,0,0,0,10.0,6.0,14.7,23.6,7.0,,,0,2025-06-06,268.0999,268.76,267.7901,268.53,132099
1749232800,2025-06-06 14:00:00,29.0,84.3,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.3,19.8,227,SW,1012.0,29.87,0.0,0.0,0.0,53,18,31.0,87.8,29.0,84.3,31.0,87.8,19.0,66.2,0,0,0,0,10.0,6.0,14.2,22.8,7.0,,,0,2025-06-06,268.55,268.98,268.55,268.65,176638
1749236400,2025-06-06 15:00:00,28.3,82.9,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.4,18.4,219,SW,1011.0,29.85,0.0,0.0,0.0,59,32,30.1,86.2,28.3,82.9,30.1,86.2,19.4,66.9,0,0,0,0,10.0,6.0,13.1,21.1,7.0,,,0,2025-06-06,268.5801,268.98,268.223,268.82,529860
1749240000,2025-06-06 16:00:00,27.5,81.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",10.7,17.3,211,SSW,1011.0,29.85,0.0,0.0,0.0,62,40,29.3,84.8,27.5,81.6,29.3,84.8,19.6,67.3,0,0,0,0,10.0,6.0,12.7,20.4,7.0,,,0,2025-06-06,268.83,269.0,220.03,268.87,1428033
1749243600,2025-06-06 17:00:00,26.2,79.1,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",9.8,15.8,213,SSW,1010.0,29.84,0.0,0.0,0.0,65,47,28.0,82.5,26.2,79.1,28.0,82.5,19.8,67.6,0,0,0,0,10.0,6.0,11.8,19.0,7.0,,,0,2025-06-06,268.61,269.0,268.57,268.58,895
1749247200,2025-06-06 18:00:00,25.0,77.1,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",13.0,20.9,217,SW,1011.0,29.84,0.0,0.0,0.0,73,69,27.0,80.5,25.0,77.1,27.0,80.5,19.6,67.4,0,0,0,0,10.0,6.0,15.7,25.2,7.0,,,0,2025-06-06,268.57,269.0,268.57,268.57,400887
1749250800,2025-06-06 19:00:00,24.0,75.1,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",15.4,24.8,221,SW,1011.0,29.84,0.0,0.0,0.0,77,79,26.0,78.8,24.0,75.1,26.0,78.8,19.6,67.2,0,0,0,0,10.0,6.0,19.2,31.0,6.0,,,0,2025-06-06,268.87,268.9995,268.57,268.99,400059
1749456000,2025-06-09 04:00:00,15.8,60.5,0,"{'text': 'Heavy rain', 'icon': '//cdn.weatherapi.com/weather/64x64/night/308.png', 'code': 1195}",7.4,11.9,70,ENE,1009.0,29.79,1.88,0.07,0.0,95,100,15.8,60.5,15.8,60.5,15.8,60.5,15.0,59.0,1,100,0,0,10.0,6.0,10.4,16.7,0.0,,,0,2025-06-09,269.0,269.0,268.06,268.73,341
1749459600,2025-06-09 05:00:00,16.0,60.8,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",6.3,10.1,71,ENE,1009.0,29.79,0.0,0.0,0.0,95,100,16.0,60.8,16.0,60.8,16.0,60.8,15.0,58.9,0,0,0,0,10.0,6.0,8.9,14.3,0.0,,,0,2025-06-09,268.99,269.25,268.72,269.0,107
1749463200,2025-06-09 06:00:00,16.2,61.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",5.6,9.0,74,ENE,1009.0,29.81,0.0,0.0,0.0,92,100,16.2,61.2,16.2,61.2,16.2,61.2,14.8,58.7,0,0,0,0,10.0,6.0,7.9,12.7,4.0,,,0,2025-06-09,268.75,269.24,268.74,269.2,161
1749466800,2025-06-09 07:00:00,16.4,61.5,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",5.1,8.3,73,ENE,1010.0,29.82,0.0,0.0,0.0,90,100,16.4,61.5,16.4,61.5,16.4,61.5,14.8,58.6,0,0,0,0,10.0,6.0,6.8,10.9,4.0,,,0,2025-06-09,269.05,269.34,268.73,268.74,1189
1749470400,2025-06-09 08:00:00,16.9,62.4,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",7.4,11.9,81,E,1010.0,29.83,0.0,0.0,0.0,88,100,16.9,62.4,16.9,62.4,16.9,62.4,14.7,58.4,0,0,0,0,10.0,6.0,8.9,14.4,4.0,,,0,2025-06-09,268.78,269.9,267.6,267.98,2697
1749474000,2025-06-09 09:00:00,17.4,63.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",7.8,12.6,80,E,1010.0,29.84,0.0,0.0,0.0,85,100,17.4,63.2,17.4,63.2,17.4,63.2,14.8,58.6,0,0,0,0,10.0,6.0,9.0,14.5,4.0,,,0,2025-06-09,268.87,270.4999,266.5,269.8367,358873
